PCC_CODE,PCC_ROLLUP
138.0, "HEALTHY FEMALE (16-40)"
130.0, "HEALTHY MALE (16-40)"
139.0, "HEALTHY FEMALE (41-64)"
131.0, "HEALTHY MALE (41-64)"
113.0, "HYPERTENSION (INCLUDES STROKE & PERIPHERAL VASCULAR DISEASE)"
129.0, "HEALTHY MALE (6-15)"
137.0, "HEALTHY FEMALE (6-15)"
126.0, "OTHER CHRONIC CONDITIONS"
128.0, "HEALTHY CHILD (2-5)"
112.0, "DIABETES"
121.0, "DEPRESSION, SUBSTANCE ABUSE AND OTHER MENTAL HEALTH DISORDER"
104.0, "RENAL FAILURE AND/OR POST KIDNEY TRANSPLANT"
103.0, "CANCER"
115.0, "ASTHMA"
108.0, "SEVERE HEART FAILURE/TRANSPLANT/RHEUMATIC HEART DISEASE/NON-RHEUMATIC VALVULAR HEART DISEASE"
120.0, "CHRONIC MUSCULOSKETETAL/OSTEO ARTHRITIS/OSTEPOROSIS"
116.0, "NEUROLOGIC DISORDERS"
117.0, "INTELLECTUAL DISABILITY"
123.0, "THYROID DISORDERS"
140.0, "HEALTHY FEMALE (65-69)"
102.0, "SEVERE DEMENTIA	"
105.0, "LIVER DISEASE (HEPATITIS, CIRRHOSIS) – POST TRANSPLANT"
132.0, "HEALTHY MALE (65-69)"
111.0, "CAD"
122.0, "GASTROINTESTINAL DISORDERS"
107.0, "SEVERE RHEUMATIC & OTHER CONNECTIVE TISSUE DISEASE"
141.0, "HEALTHY FEMALE (70-74)"
101.0, "MAJOR PSYCHOSIS"
133.0, "HEALTHY MALE (70-74)"
110.0, "BOTH CAD & DIABETES"
142.0, "HEALTHY FEMALE (75-79)"
118.0, "CONGENITAL ANOMALIES"
114.0, "COPD"
134.0, "HEALTHY MALE (75-79)"
145.0, "OTHER HEALTHY (UNKNOWN AGE OR GENDER)"
109.0, "HEMOPHILIA & SICKLE CELL & CHRONIC BLOOD DISORDERS"
143.0, "HEALTHY FEMALE (80-84)
144.0, "HEALTHY FEMALE (85+)"
106.0, "HIV"
135.0, "HEALTHY MALE (80-84)
136.0, "HEALTHY MALE (85+)"
124.0, "DERMATOLOGIC DISORDERS"
119.0, "CYSTIC FIBROSIS"
125.0, "UNHEALTHY NEWBORNS AND PREEMIES"
